code	name	description
01	Thành phố Hà Nội	Mã số: 01
04	Cao Bằng	Mã số: 04
08	Tuyên Quang	Mã số: 08
11	Điện Biên	Mã số: 11
12	Lai Châu	Mã số: 12
14	Sơn La	Mã số: 14
15	Lào Cai	Mã số: 15
19	Thái Nguyên	Mã số: 19
20	Lạng Sơn	Mã số: 20
22	Quảng Ninh	Mã số: 22
24	Bắc Ninh	Mã số: 24
25	Phú Thọ	Mã số: 25
31	Thành phố Hải Phòng	Mã số: 31
33	Hưng Yên	Mã số: 33
37	Ninh Bình	Mã số: 37
38	Thanh Hóa	Mã số: 38
40	Nghệ An	Mã số: 40
42	Hà Tĩnh	Mã số: 42
44	Quảng Trị	Mã số: 44
46	Thành phố Huế	Mã số: 46
48	Thành phố Đà Nẵng	Mã số: 48
51	Quảng Ngãi	Mã số: 51
52	Gia Lai	Mã số: 52
56	Khánh Hòa	Mã số: 56
66	Đắk Lắk	Mã số: 66
68	Lâm Đồng	Mã số: 68
75	Đồng Nai	Mã số: 75
79	Thành phố Hồ Chí Minh	Mã số: 79
80	Tây Ninh	Mã số: 80
82	Đồng Tháp	Mã số: 82
86	Vĩnh Long	Mã số: 86
91	An Giang	Mã số: 91
92	Thành phố Cần Thơ	Mã số: 92
96	Cà Mau	Mã số: 96
